R_version	name	version	date_time	hash	binary_location	status
4.4.0	rsvd	1.0.5	2024-05-05T21:05:52Z	fec669791805f85463fd9f4425cc9cf7	/workspace/rst/cache_R-4.4.0/library/rsvd/1.0.5/fec669791805f85463fd9f4425cc9cf7/rsvd	available
4.4.0	rsvg	2.6.0	2024-05-05T21:10:44Z	7b5092e2e22027733bcf079937565985	/workspace/rst/cache_R-4.4.0/library/rsvg/2.6.0/7b5092e2e22027733bcf079937565985/rsvg	available
4.4.0	rtdists	0.11.5	2024-06-13T05:14:37Z	b204963bd46d7c1a8611d9d7ac39b8e3	/workspace/rst/cache_R-4.4.0/library/rtdists/0.11-5/b204963bd46d7c1a8611d9d7ac39b8e3/rtdists	available
4.4.0	rtf	0.4.14.1	2024-05-06T01:05:58Z	3dd7fe9c50b075be67a0fba58bfdb188	/workspace/rst/cache_R-4.4.0/library/rtf/0.4-14.1/3dd7fe9c50b075be67a0fba58bfdb188/rtf	available
4.4.0	rticles	0.27	2024-05-06T01:30:04Z	5bfa20956602e658e83921b23c28f9dc	/workspace/rst/cache_R-4.4.0/library/rticles/0.27/5bfa20956602e658e83921b23c28f9dc/rticles	available
4.4.0	rtracklayer	1.64.0	2024-05-05T20:36:46Z	687f72b30865e3e17df7b9809e825f6b	/workspace/rst/cache_R-4.4.0/library/rtracklayer/1.64.0/687f72b30865e3e17df7b9809e825f6b/rtracklayer	available
4.4.0	rucrdtw	0.1.6	2024-06-14T05:12:10Z	3dbb961412af0195ab298d1527f42fee	/workspace/rst/cache_R-4.4.0/library/rucrdtw/0.1.6/3dbb961412af0195ab298d1527f42fee/rucrdtw	available
4.4.0	rvcheck	0.2.1	2024-05-06T01:30:20Z	806a76811f283390ea47996aecdf973a	/workspace/rst/cache_R-4.4.0/library/rvcheck/0.2.1/806a76811f283390ea47996aecdf973a/rvcheck	available
4.4.0	rversions	2.1.2	2024-05-06T05:04:19Z	30301e046697fa69b2019112bf05bffe	/workspace/rst/cache_R-4.4.0/library/rversions/2.1.2/30301e046697fa69b2019112bf05bffe/rversions	available
4.4.0	rvest	1.0.4	2024-05-05T21:46:50Z	ae812b639c468ce3bcc9b75095992a81	/workspace/rst/cache_R-4.4.0/library/rvest/1.0.4/ae812b639c468ce3bcc9b75095992a81/rvest	available
4.4.0	rvg	0.3.3	2024-05-06T00:26:47Z	ef355c278cc021bc251b9239c15f7222	/workspace/rst/cache_R-4.4.0/library/rvg/0.3.3/ef355c278cc021bc251b9239c15f7222/rvg	available
4.4.0	s2	1.1.6	2024-05-05T20:58:11Z	d39ab40970d61b2e1a93256ddf78d7ed	/workspace/rst/cache_R-4.4.0/library/s2/1.1.6/d39ab40970d61b2e1a93256ddf78d7ed/s2	available
4.4.0	safer	0.2.1	2024-05-06T01:30:37Z	179ed8fb19afb5129c60cb8ab7768945	/workspace/rst/cache_R-4.4.0/library/safer/0.2.1/179ed8fb19afb5129c60cb8ab7768945/safer	available
4.4.0	safetensors	0.1.2	2024-05-06T01:30:48Z	e8e18b24a2bc8b164ff3701cc86dcb1f	/workspace/rst/cache_R-4.4.0/library/safetensors/0.1.2/e8e18b24a2bc8b164ff3701cc86dcb1f/safetensors	available
4.4.0	sampleSelection	1.2.12	2024-05-06T01:31:03Z	3eb4ad0f6a7b42d8c54edb2700a4f5a8	/workspace/rst/cache_R-4.4.0/library/sampleSelection/1.2-12/3eb4ad0f6a7b42d8c54edb2700a4f5a8/sampleSelection	available
4.4.0	sandwich	3.1.0	2024-05-05T22:11:24Z	7f155b64c85e76822d5c3bc479d4a36f	/workspace/rst/cache_R-4.4.0/library/sandwich/3.1-0/7f155b64c85e76822d5c3bc479d4a36f/sandwich	available
4.4.0	sass	0.4.9	2024-05-06T05:04:20Z	90b0e272c8e66de48d9689de3d8accb1	/workspace/rst/cache_R-4.4.0/library/sass/0.4.9/90b0e272c8e66de48d9689de3d8accb1/sass	available
4.4.0	satellite	1.0.5	2024-05-05T23:58:16Z	946b140ce236775d79715bc9e78091c7	/workspace/rst/cache_R-4.4.0/library/satellite/1.0.5/946b140ce236775d79715bc9e78091c7/satellite	available
4.4.0	scRNAseq	2.18.0	2024-05-06T01:32:07Z	7067f13f8cd4059789aae8609b264606	/workspace/rst/cache_R-4.4.0/library/scRNAseq/2.18.0/7067f13f8cd4059789aae8609b264606/scRNAseq	available
4.4.0	scales	1.3.0	2024-05-05T20:17:09Z	d653cb95ac4387165c99f60f0232a3bf	/workspace/rst/cache_R-4.4.0/library/scales/1.3.0/d653cb95ac4387165c99f60f0232a3bf/scales	available
4.4.0	scam	1.2.16	2024-05-06T01:32:21Z	696505360d4602db0b18624a39e074d2	/workspace/rst/cache_R-4.4.0/library/scam/1.2-16/696505360d4602db0b18624a39e074d2/scam	available
4.4.0	scater	1.32.0	2024-05-06T01:32:54Z	99d807d9c462191f855a0cdb74548338	/workspace/rst/cache_R-4.4.0/library/scater/1.32.0/99d807d9c462191f855a0cdb74548338/scater	available
4.4.0	scattermore	1.2	2024-05-05T20:26:17Z	83e9875b569003a3e20f9494c1b21230	/workspace/rst/cache_R-4.4.0/library/scattermore/1.2/83e9875b569003a3e20f9494c1b21230/scattermore	available
4.4.0	scatterpie	0.2.3	2024-06-07T05:12:11Z	ba09ee5d791c020f1466cde0478908f7	/workspace/rst/cache_R-4.4.0/library/scatterpie/0.2.3/ba09ee5d791c020f1466cde0478908f7/scatterpie	available
4.4.0	scatterplot3d	0.3.44	2024-05-05T21:42:39Z	1c8fd32856d56a50c365a525718e505c	/workspace/rst/cache_R-4.4.0/library/scatterplot3d/0.3-44/1c8fd32856d56a50c365a525718e505c/scatterplot3d	available
4.4.0	scoringRules	1.1.1	2024-05-05T23:03:47Z	0831562c84031308dbcf76d2faac8ede	/workspace/rst/cache_R-4.4.0/library/scoringRules/1.1.1/0831562c84031308dbcf76d2faac8ede/scoringRules	available
4.4.0	scran	1.32.0	2024-05-06T01:34:27Z	412f13f156d2f276ef15cb15b9fe40f6	/workspace/rst/cache_R-4.4.0/library/scran/1.32.0/412f13f156d2f276ef15cb15b9fe40f6/scran	available
4.4.0	scs	3.2.4	2024-05-05T21:06:35Z	dd3f3b6b96371487ef14f4469428efe3	/workspace/rst/cache_R-4.4.0/library/scs/3.2.4/dd3f3b6b96371487ef14f4469428efe3/scs	available
4.4.0	sctransform	0.4.1	2024-05-05T22:23:17Z	9f969fa0f4a69ff20654c8b7bd86702c	/workspace/rst/cache_R-4.4.0/library/sctransform/0.4.1/9f969fa0f4a69ff20654c8b7bd86702c/sctransform	available
4.4.0	scuttle	1.14.0	2024-05-05T21:33:09Z	9ed8c1dbe8023cbcbf73b4b719129e0c	/workspace/rst/cache_R-4.4.0/library/scuttle/1.14.0/9ed8c1dbe8023cbcbf73b4b719129e0c/scuttle	available
4.4.0	sda	1.3.8	2024-06-14T05:12:10Z	c102c29a9b16b213274935b03a5ad563	/workspace/rst/cache_R-4.4.0/library/sda/1.3.8/c102c29a9b16b213274935b03a5ad563/sda	available
4.4.0	sde	2.0.18	2024-05-05T23:06:01Z	2b4c564de94d1fb832c6962a84964e78	/workspace/rst/cache_R-4.4.0/library/sde/2.0.18/2b4c564de94d1fb832c6962a84964e78/sde	available
4.4.0	sdmTMB	0.6.0	2024-05-31T05:11:01Z	8fd878591d87825b46dd8db85c0e922c	/workspace/rst/cache_R-4.4.0/library/sdmTMB/0.6.0/8fd878591d87825b46dd8db85c0e922c/sdmTMB	available
4.4.0	seasonal	1.9.0	2024-05-06T01:38:00Z	a65e4ef259e839fab58604ad3a173e38	/workspace/rst/cache_R-4.4.0/library/seasonal/1.9.0/a65e4ef259e839fab58604ad3a173e38/seasonal	available
4.4.0	secretbase	0.5.0	2024-05-06T01:38:14Z	7302385be784349f086e6cd10e11eb2b	/workspace/rst/cache_R-4.4.0/library/secretbase/0.5.0/7302385be784349f086e6cd10e11eb2b/secretbase	available
4.4.0	see	0.8.4	2024-05-06T01:38:30Z	84bd56ea1ba8e18b9029d44db6e15254	/workspace/rst/cache_R-4.4.0/library/see/0.8.4/84bd56ea1ba8e18b9029d44db6e15254/see	available
4.4.0	segmented	2.1.0	2024-05-16T05:04:35Z	ec37a1c62b0c54305406ef5e924a36c7	/workspace/rst/cache_R-4.4.0/library/segmented/2.1-0/ec37a1c62b0c54305406ef5e924a36c7/segmented	available
4.4.0	selectr	0.4.2	2024-05-05T21:46:50Z	53905aaa54c9b7ba40bbc72192badea5	/workspace/rst/cache_R-4.4.0/library/selectr/0.4-2/53905aaa54c9b7ba40bbc72192badea5/selectr	available
4.4.0	sem	3.1.15	2024-05-05T21:33:42Z	84acf2b766b9b785c1b42d49800a41a3	/workspace/rst/cache_R-4.4.0/library/sem/3.1-15/84acf2b766b9b785c1b42d49800a41a3/sem	available
4.4.0	semEff	0.6.1	2024-05-06T01:38:47Z	f8478b65fc890e85bffaa1b9f8abb25a	/workspace/rst/cache_R-4.4.0/library/semEff/0.6.1/f8478b65fc890e85bffaa1b9f8abb25a/semEff	available
4.4.0	semPlot	1.1.6	2024-05-05T21:33:42Z	ab76b6fbbe9b19b5aa6e7d653c5604bc	/workspace/rst/cache_R-4.4.0/library/semPlot/1.1.6/ab76b6fbbe9b19b5aa6e7d653c5604bc/semPlot	available
4.4.0	semTools	0.5.6	2024-05-05T21:33:42Z	3fadadaf9eec83da8eefaf49d69d4d48	/workspace/rst/cache_R-4.4.0/library/semTools/0.5-6/3fadadaf9eec83da8eefaf49d69d4d48/semTools	available
4.4.0	seqLogo	1.70.0	2024-05-05T20:36:47Z	7feb0fa66f32115f4deaa748848da08a	/workspace/rst/cache_R-4.4.0/library/seqLogo/1.70.0/7feb0fa66f32115f4deaa748848da08a/seqLogo	available
4.4.0	seqinr	4.2.36	2024-05-05T22:37:30Z	e947571af01162742d045b1c65a8244b	/workspace/rst/cache_R-4.4.0/library/seqinr/4.2-36/e947571af01162742d045b1c65a8244b/seqinr	available
4.4.0	seriation	1.5.5	2024-05-05T21:29:22Z	f350e65e912bd2fba75229f4739b6dc3	/workspace/rst/cache_R-4.4.0/library/seriation/1.5.5/f350e65e912bd2fba75229f4739b6dc3/seriation	available
4.4.0	serp	0.2.4	2024-05-06T01:39:13Z	c9217e65dbf33650b8b223323a810d2b	/workspace/rst/cache_R-4.4.0/library/serp/0.2.4/c9217e65dbf33650b8b223323a810d2b/serp	available
4.4.0	servr	0.30	2024-05-05T23:58:17Z	cd1189a4ffae11650ffd16cee01af671	/workspace/rst/cache_R-4.4.0/library/servr/0.30/cd1189a4ffae11650ffd16cee01af671/servr	available
